Age,Salary,Purchased
28,50528,No
45,39504,No
42,53209,Yes
56,48315,Yes
50,46685,Yes
18,59212,No
44,61362,Yes
30,42042,No
58,41362,Yes
20,45874,No
56,20000,No
23,27272,No
25,70503,Yes
44,74674,Yes
26,46264,No
54,58648,Yes
50,54668,Yes
59,96183,Yes
41,66793,Yes
32,48081,Yes
49,35666,No
49,25903,No
41,53051,Yes
58,38654,No
29,28666,No
56,40301,Yes
19,33776,No
20,75307,Yes
54,63224,Yes
34,49880,Yes
19,72199,Yes
19,51160,No
45,37080,No
40,72846,Yes
54,58083,Yes
49,34441,No
50,47144,Yes
18,36865,No
36,29258,No
19,63892,No
43,78641,Yes
49,29021,No
23,58444,No
49,40240,Yes
21,42693,No
28,41114,No
34,37040,No
55,50727,Yes
41,37535,No
22,54056,No
51,49246,Yes
23,46415,No
39,36386,No
28,41348,No
33,61330,Yes
50,57513,Yes
26,35336,No
23,51489,No
33,61270,Yes
46,24958,No
20,58150,No
37,40060,Yes
53,58558,Yes
36,38551,No
43,22926,No
20,25586,No
36,50721,Yes
37,53895,Yes
49,36435,No
24,59578,No
58,25077,No
50,49008,Yes
57,31834,No
56,40222,Yes
35,50710,Yes
57,37093,No
18,44231,No
28,65094,No
45,41346,Yes
42,62535,Yes
40,33054,No
48,57947,Yes
47,71623,Yes
59,20000,No
52,38046,No
24,58656,No
33,46954,Yes
43,55567,Yes
19,40940,No
18,51298,No
29,47664,No
22,67516,No
54,53816,Yes
49,55064,Yes
26,43821,No
58,42685,Yes
52,43511,Yes
36,55916,Yes
33,43685,Yes
20,54346,No
37,81131,Yes
41,63066,Yes
50,45109,Yes
41,68018,Yes
28,43878,No
25,20000,No
53,34878,No
55,21938,No
57,44727,Yes
37,50276,Yes
52,75146,Yes
42,54903,Yes
52,46713,Yes
42,62441,Yes
46,20000,No
35,53534,Yes
35,61562,Yes
19,27821,No
52,67156,Yes
33,55077,Yes
58,43770,Yes
53,59491,Yes
50,84060,Yes
21,52727,No
50,53723,Yes
31,43109,Yes
38,37252,No
37,62455,Yes
25,37158,No
24,51073,No
20,42835,No
34,57184,Yes
50,55004,Yes
29,65563,No
39,42349,Yes
39,45951,Yes
47,35318,No
55,43335,Yes
55,55659,Yes
25,61354,No
44,36167,No
44,63044,Yes
51,70334,Yes
38,56201,Yes
47,78151,Yes
50,38393,No
45,31330,No
50,23319,No
22,72440,Yes
36,59815,Yes
21,49166,No
52,54199,Yes
34,33117,No
45,86686,Yes
47,51938,Yes
46,51640,Yes
23,60886,No
52,57215,Yes
58,53358,Yes
54,38142,No
41,57072,Yes
46,78230,Yes
48,70181,Yes
52,73897,Yes
50,42331,Yes
38,35155,No
49,48113,Yes
40,50835,Yes
50,66412,Yes
20,24613,No
35,72943,Yes
42,47629,Yes
59,43596,Yes
48,34818,No
20,25177,No
57,62347,Yes
41,51099,Yes
49,30650,No
39,30573,No
40,44963,Yes
19,75035,Yes
44,46106,Yes
59,27452,No
19,46313,No
43,45909,Yes
34,20000,No
57,49185,Yes
50,46535,Yes
26,60443,No
60,77734,Yes
56,66898,Yes
46,45966,Yes
59,33402,No
43,88600,Yes
52,50888,Yes
42,50208,Yes
41,49638,Yes
30,52971,No
24,47834,No
53,41395,Yes
37,41797,Yes
18,49508,No
25,41848,No
33,39307,No
31,51596,Yes
29,46175,No
40,72559,Yes
32,20000,No
45,66372,Yes
51,68691,Yes
19,20000,No
49,44859,Yes
40,44428,Yes
39,28887,No
42,38332,No
39,33341,No
39,76284,Yes
59,64035,Yes
23,69073,No
32,60825,Yes
60,33064,No
54,42132,Yes
50,57340,Yes
25,31668,No
22,60694,No
56,46395,Yes
21,44377,No
23,60664,No
49,56663,Yes
47,44585,Yes
52,67389,Yes
57,33784,No
33,59239,Yes
30,58896,No
59,45356,Yes
47,54891,Yes
36,31233,No
34,63860,Yes
36,47226,Yes
45,42159,Yes
43,65735,Yes
54,39434,No
43,28873,No
40,26650,No
26,59090,No
29,30793,No
18,76321,Yes
18,20000,No
51,75446,Yes
49,53165,Yes
42,48549,Yes
57,41826,Yes
18,55987,No
33,49435,Yes
56,66549,Yes
22,51713,No
39,52254,Yes
46,44545,Yes
20,49145,No
29,54617,No
43,24347,No
33,29777,No
54,61148,Yes
39,52562,Yes
46,47240,Yes
31,50276,Yes
45,55213,Yes
22,41903,No
47,38325,No
22,52937,No
29,35324,No
33,56123,Yes
43,24461,No
43,65437,Yes
38,57088,Yes
56,53840,Yes
53,64740,Yes
50,74982,Yes
47,65215,Yes
54,22386,No
40,30806,No
27,40627,No
22,50391,No
53,57764,Yes
51,39113,No
48,52801,Yes
27,38669,No
36,40827,Yes
49,28900,No
18,36151,No
22,29724,No
21,35361,No
33,65804,Yes
41,35759,No
33,89485,Yes
19,57399,No
45,52772,Yes
49,37124,No
44,60504,Yes
37,41365,Yes
41,51830,Yes
29,88401,Yes
52,48559,Yes
50,67239,Yes
50,39452,No
60,49475,Yes
54,76562,Yes
29,40595,No
20,77186,Yes
18,60616,No
50,41562,Yes
57,59486,Yes
27,64588,No
60,59327,Yes
46,26446,No
30,39092,No
29,46287,No
48,48883,Yes
19,59310,No
52,52665,Yes
40,29969,No
34,55702,Yes
43,59158,Yes
25,58396,No
46,66211,Yes
43,62508,Yes
27,56887,No
43,48947,Yes
51,25085,No
58,56444,Yes
24,53115,No
21,54073,No
28,30848,No
46,33784,No
53,65797,Yes
42,49406,Yes
38,60222,Yes
53,50424,Yes
27,50446,No
54,64074,Yes
26,42259,No
41,51441,Yes
52,43065,Yes
52,43482,Yes
53,45362,Yes
