fare,age,family,survived
236.01,46.0,3.0,1
84.18,45.0,3.0,0
132.1,19.0,,0
177.24,15.0,4.0,0
94.09,,8.0,0
243.09,66.0,5.0,0
240.8,39.0,7.0,1
66.69,18.0,3.0,1
126.83,70.0,8.0,0
78.72,59.0,6.0,1
74.79,32.0,6.0,1
14.04,21.0,,0
154.34,40.0,,0
128.16,27.0,5.0,0
17.61,2.0,6.0,0
73.27,39.0,2.0,0
227.53,56.0,7.0,1
63.69,13.0,0.0,0
40.5,56.0,0.0,1
124.92,66.0,9.0,0
246.48,78.0,2.0,0
64.3,56.0,5.0,1
169.67,28.0,6.0,0
191.6,64.0,1.0,1
63.22,71.0,5.0,0
183.41,64.0,,1
95.11,56.0,5.0,0
159.91,41.0,0.0,0
160.21,41.0,9.0,1
136.26,4.0,6.0,1
27.12,57.0,7.0,0
209.65,30.0,6.0,1
83.59,46.0,8.0,1
50.7,56.0,0.0,0
14.99,31.0,9.0,0
149.77,7.0,8.0,0
171.0,77.0,2.0,0
9.06,54.0,1.0,0
130.46,8.0,,1
60.49,55.0,4.0,1
163.07,69.0,3.0,0
47.72,44.0,,0
174.28,13.0,7.0,1
99.75,20.0,9.0,0
234.5,78.0,2.0,0
38.69,32.0,0.0,1
88.56,60.0,,1
32.8,50.0,,1
231.55,27.0,2.0,1
219.95,25.0,,1
68.2,52.0,0.0,0
166.7,68.0,3.0,0
205.22,,1.0,0
141.02,18.0,7.0,0
134.76,39.0,,0
64.25,15.0,8.0,0
27.81,53.0,9.0,0
224.82,38.0,0.0,0
225.6,48.0,1.0,0
160.11,52.0,5.0,0
88.06,72.0,9.0,1
90.56,28.0,6.0,1
182.86,16.0,1.0,1
224.79,16.0,7.0,0
222.34,35.0,9.0,0
196.07,17.0,8.0,0
162.3,,7.0,1
25.61,52.0,8.0,1
44.6,12.0,5.0,0
225.15,48.0,,1
153.58,22.0,5.0,0
7.25,49.0,6.0,0
29.86,52.0,2.0,1
167.56,79.0,3.0,0
6.24,1.0,,0
44.4,66.0,2.0,0
139.44,64.0,1.0,1
174.51,8.0,6.0,0
164.73,25.0,,0
59.95,66.0,2.0,1
179.48,73.0,5.0,0
63.13,73.0,6.0,0
84.72,77.0,5.0,0
187.89,70.0,0.0,1
164.16,79.0,0.0,0
213.06,51.0,8.0,1
166.12,53.0,5.0,1
144.24,15.0,,1
27.95,50.0,0.0,0
95.09,71.0,1.0,1
69.97,75.0,,1
64.78,38.0,4.0,0
243.39,40.0,6.0,0
101.31,66.0,6.0,1
223.55,39.0,1.0,0
159.63,,3.0,0
199.73,17.0,1.0,1
128.15,7.0,6.0,1
146.34,39.0,4.0,0
125.67,68.0,0.0,0
52.83,35.0,,0
182.0,51.0,5.0,1
73.79,47.0,3.0,1
10.96,36.0,,1
163.14,64.0,1.0,1
48.39,13.0,1.0,1
235.41,18.0,,0
238.71,21.0,,0
229.14,65.0,0.0,0
95.69,8.0,4.0,0
8.79,48.0,0.0,0
232.44,43.0,5.0,0
109.91,53.0,6.0,1
241.83,27.0,5.0,1
241.09,19.0,8.0,0
213.99,23.0,2.0,0
77.14,50.0,7.0,0
99.35,51.0,,1
213.53,43.0,6.0,0
82.65,51.0,4.0,1
46.53,69.0,0.0,0
141.42,41.0,3.0,0
234.36,72.0,8.0,0
175.53,11.0,7.0,0
144.66,52.0,2.0,1
28.81,23.0,1.0,1
155.68,49.0,8.0,0
247.56,38.0,0.0,1
39.32,47.0,8.0,0
131.99,72.0,6.0,0
219.96,7.0,1.0,1
186.49,66.0,4.0,0
175.77,77.0,1.0,0
177.11,62.0,,0
93.08,29.0,6.0,0
76.93,38.0,,0
203.29,33.0,1.0,1
203.48,29.0,4.0,0
217.43,79.0,9.0,0
228.74,,,0
130.28,3.0,4.0,0
127.87,45.0,1.0,1
200.58,8.0,5.0,1
164.24,29.0,5.0,1
176.98,2.0,1.0,0
199.97,50.0,3.0,1
223.05,65.0,,0
87.81,,0.0,0
97.02,52.0,,1
28.03,37.0,5.0,0
146.68,72.0,6.0,0
13.81,,4.0,1
119.07,47.0,9.0,1
137.95,6.0,7.0,0
75.2,60.0,3.0,1
149.75,45.0,2.0,1
12.47,44.0,6.0,1
14.15,18.0,3.0,0
206.54,65.0,,1
93.25,25.0,7.0,1
36.13,27.0,,1
132.95,7.0,7.0,1
193.65,44.0,7.0,0
57.88,29.0,4.0,0
157.61,44.0,7.0,1
25.91,36.0,6.0,0
17.66,19.0,2.0,0
135.18,6.0,3.0,1
137.46,25.0,6.0,0
161.17,31.0,3.0,0
182.89,9.0,5.0,0
244.08,74.0,1.0,0
131.49,37.0,1.0,1
84.12,27.0,2.0,1
199.82,,9.0,0
71.35,41.0,6.0,1
112.55,66.0,2.0,0
24.22,24.0,,0
11.21,44.0,,0
240.85,60.0,9.0,1
209.82,9.0,5.0,0
175.51,2.0,0.0,1
105.19,56.0,5.0,0
47.46,30.0,7.0,0
43.33,22.0,7.0,1
66.31,75.0,5.0,0
139.56,,5.0,1
180.08,71.0,2.0,0
166.75,16.0,1.0,1
73.58,45.0,6.0,1
238.94,65.0,7.0,0
185.78,11.0,9.0,0
140.82,70.0,5.0,1
154.87,20.0,,1
107.8,63.0,3.0,0
65.69,12.0,0.0,1
92.21,62.0,8.0,1
190.67,42.0,9.0,0
8.53,69.0,3.0,0
33.44,58.0,1.0,1
16.27,5.0,,1
14.98,27.0,4.0,1
214.59,28.0,1.0,0
177.4,26.0,,1
121.17,49.0,2.0,0
28.97,21.0,7.0,0
125.45,1.0,3.0,1
121.0,58.0,4.0,1
47.43,79.0,2.0,0
111.29,55.0,4.0,1
102.63,26.0,8.0,1
155.88,25.0,1.0,0
160.6,77.0,,1
16.1,33.0,,1
96.78,72.0,7.0,0
158.34,69.0,,0
128.27,6.0,3.0,0
214.84,23.0,9.0,0
166.38,30.0,1.0,1
44.92,78.0,9.0,0
22.29,54.0,8.0,1
162.39,11.0,2.0,1
11.5,31.0,8.0,0
148.52,6.0,6.0,0
235.36,11.0,5.0,0
145.99,77.0,2.0,0
100.1,12.0,6.0,0
162.61,66.0,2.0,0
117.27,53.0,5.0,0
138.68,36.0,7.0,0
235.66,17.0,4.0,1
99.6,28.0,2.0,0
240.49,22.0,5.0,0
226.81,7.0,,1
52.97,15.0,9.0,0
21.99,11.0,2.0,0
29.69,24.0,,1
9.46,67.0,,0
28.14,30.0,,0
172.34,70.0,9.0,0
22.44,66.0,2.0,0
83.15,61.0,1.0,0
211.99,78.0,7.0,1
10.7,41.0,6.0,0
204.54,51.0,8.0,0
74.05,44.0,3.0,1
33.95,13.0,,1
175.7,12.0,9.0,1
159.09,9.0,4.0,0
219.98,48.0,0.0,0
185.09,49.0,4.0,0
201.85,53.0,2.0,1
74.1,56.0,0.0,1
48.47,40.0,2.0,0
188.9,24.0,4.0,0
202.67,72.0,4.0,0
247.67,33.0,,0
106.09,23.0,7.0,1
96.14,77.0,0.0,0
195.22,54.0,6.0,0
88.5,53.0,4.0,1
233.04,49.0,2.0,0
215.31,78.0,,0
110.1,78.0,2.0,0
188.96,49.0,7.0,0
189.86,60.0,3.0,0
30.27,65.0,2.0,0
226.13,32.0,1.0,0
128.79,79.0,2.0,0
207.48,21.0,6.0,0
83.41,18.0,5.0,1
224.4,60.0,9.0,0
100.35,13.0,,0
7.66,24.0,7.0,0
226.82,30.0,0.0,0
27.37,2.0,2.0,0
83.23,25.0,1.0,1
237.77,50.0,1.0,0
237.9,14.0,0.0,1
145.49,6.0,4.0,0
159.8,76.0,4.0,1
114.87,30.0,2.0,1
76.84,30.0,8.0,0
85.52,,,0
169.77,58.0,9.0,0
189.33,41.0,5.0,1
198.94,57.0,9.0,0
198.46,36.0,5.0,1
27.35,64.0,1.0,1
126.13,16.0,9.0,0
19.1,78.0,9.0,0
139.63,72.0,7.0,0
113.17,14.0,,1
222.49,31.0,2.0,0
90.97,66.0,,0
33.68,68.0,8.0,0
40.03,65.0,1.0,0
191.57,55.0,,0
156.46,78.0,2.0,1
29.78,40.0,5.0,0
25.61,25.0,4.0,1
176.74,25.0,5.0,0
22.83,3.0,7.0,1
206.36,69.0,2.0,0
178.03,26.0,1.0,1
24.93,40.0,7.0,0
25.79,38.0,0.0,0
246.73,38.0,1.0,0
96.7,68.0,9.0,0
95.81,7.0,0.0,0
204.14,30.0,4.0,0
237.08,19.0,7.0,1
246.57,35.0,1.0,0
189.58,33.0,,0
97.18,33.0,3.0,1
25.46,78.0,6.0,0
195.4,38.0,0.0,0
141.81,10.0,8.0,1
108.93,57.0,,0
227.06,28.0,5.0,0
32.24,78.0,,0
125.69,38.0,4.0,0
7.78,16.0,3.0,0
119.82,21.0,8.0,0
18.79,6.0,8.0,0
34.11,41.0,0.0,0
33.79,15.0,6.0,1
164.06,3.0,9.0,0
187.78,43.0,,1
147.93,47.0,4.0,0
240.73,14.0,0.0,1
96.84,66.0,7.0,0
75.0,29.0,4.0,0
217.81,4.0,5.0,0
59.78,26.0,6.0,1
240.99,12.0,9.0,0
7.98,2.0,6.0,0
242.62,17.0,6.0,0
15.57,35.0,0.0,0
223.33,10.0,,1
134.29,43.0,2.0,1
248.28,21.0,4.0,0
23.08,15.0,,0
140.69,35.0,4.0,0
242.48,60.0,7.0,1
133.16,44.0,6.0,0
159.2,5.0,6.0,0
175.46,73.0,5.0,0
116.36,18.0,6.0,0
158.75,21.0,6.0,1
148.16,72.0,4.0,0
225.78,74.0,4.0,1
16.13,51.0,,0
73.84,41.0,3.0,0
237.85,24.0,4.0,0
223.11,,9.0,1
116.64,38.0,8.0,0
156.93,44.0,5.0,1
72.96,57.0,7.0,1
51.09,59.0,8.0,0
118.61,34.0,3.0,0
91.57,,6.0,1
148.0,23.0,,0
24.04,43.0,3.0,1
243.73,40.0,6.0,0
246.62,47.0,2.0,0
176.05,41.0,0.0,0
136.34,47.0,6.0,0
80.83,20.0,8.0,0
204.38,77.0,1.0,0
172.76,65.0,6.0,1
44.84,68.0,9.0,1
228.18,24.0,1.0,0
206.52,36.0,2.0,0
237.7,45.0,9.0,1
182.8,2.0,9.0,0
155.29,28.0,2.0,1
107.47,26.0,3.0,0
233.52,23.0,5.0,1
217.19,79.0,2.0,0
16.08,36.0,8.0,1
11.46,6.0,1.0,0
97.23,35.0,6.0,0
203.59,38.0,5.0,0
246.88,35.0,1.0,0
41.85,74.0,2.0,0
150.56,53.0,5.0,1
98.32,38.0,9.0,0
242.63,59.0,3.0,0
211.32,43.0,0.0,0
210.39,4.0,0.0,0
119.83,5.0,,1
106.63,68.0,7.0,1
71.98,45.0,3.0,1
18.81,25.0,0.0,1
216.86,78.0,,1
204.16,11.0,9.0,0
249.93,29.0,5.0,0
249.18,34.0,0.0,0
141.08,14.0,9.0,1
193.4,,,0
236.47,59.0,5.0,0
213.16,39.0,0.0,1
65.6,26.0,9.0,0
115.38,43.0,9.0,1
36.64,36.0,2.0,1
238.74,39.0,1.0,1
153.51,61.0,3.0,1
61.02,16.0,1.0,1
169.57,,4.0,1
156.44,6.0,3.0,0
92.75,56.0,5.0,1
32.82,8.0,6.0,1
169.54,27.0,1.0,0
132.48,71.0,,0
194.22,27.0,7.0,0
132.44,46.0,,0
213.78,41.0,4.0,0
140.22,79.0,6.0,1
142.43,25.0,8.0,0
219.78,18.0,0.0,0
103.85,12.0,7.0,0
37.83,51.0,9.0,0
12.05,39.0,9.0,0
190.01,10.0,8.0,0
156.98,74.0,8.0,1
177.5,77.0,9.0,1
57.18,54.0,,1
38.41,29.0,9.0,0
8.56,41.0,2.0,1
90.89,9.0,4.0,1
149.53,63.0,1.0,1
101.1,77.0,9.0,0
112.18,37.0,2.0,0
226.52,14.0,9.0,0
90.32,73.0,6.0,1
130.93,72.0,,0
196.99,39.0,,0
102.15,40.0,4.0,0
157.41,54.0,,1
216.28,3.0,2.0,1
237.63,55.0,5.0,1
41.03,33.0,,1
232.01,71.0,3.0,0
125.57,19.0,,0
68.27,34.0,5.0,1
117.49,78.0,8.0,1
245.11,50.0,9.0,1
125.69,47.0,,0
85.54,46.0,1.0,0
160.18,56.0,5.0,0
63.84,57.0,3.0,0
23.59,51.0,,0
36.58,54.0,4.0,1
36.37,28.0,2.0,1
42.22,19.0,5.0,0
39.01,27.0,7.0,0
162.01,48.0,3.0,1
49.56,19.0,3.0,0
89.69,51.0,4.0,1
224.71,,5.0,0
121.12,29.0,6.0,0
168.55,43.0,5.0,0
47.22,69.0,6.0,0
52.11,58.0,,0
15.01,8.0,3.0,1
46.39,42.0,9.0,1
73.25,76.0,0.0,1
48.37,42.0,8.0,1
26.73,13.0,6.0,0
34.56,26.0,3.0,0
117.89,18.0,9.0,1
55.55,42.0,7.0,0
94.25,51.0,6.0,1
128.34,16.0,1.0,0
174.15,3.0,0.0,1
14.63,79.0,8.0,1
200.86,45.0,6.0,0
158.84,22.0,,0
25.03,23.0,0.0,0
219.03,59.0,3.0,0
230.61,62.0,4.0,1
19.96,68.0,,0
72.84,54.0,4.0,0
202.52,,2.0,1
188.32,23.0,4.0,1
50.21,60.0,3.0,0
56.29,73.0,4.0,1
95.77,55.0,6.0,0
123.71,63.0,4.0,1
156.47,56.0,7.0,0
95.38,55.0,7.0,1
118.32,25.0,2.0,1
188.13,26.0,4.0,0
13.99,49.0,3.0,0
66.85,63.0,4.0,0
179.77,45.0,7.0,1
224.33,73.0,3.0,1
130.36,79.0,4.0,1
135.37,39.0,6.0,1
31.26,65.0,2.0,1
114.62,69.0,5.0,1
135.49,56.0,8.0,1
64.41,9.0,3.0,0
70.96,70.0,3.0,1
97.43,28.0,5.0,0
9.92,45.0,5.0,1
83.91,26.0,2.0,0
56.8,28.0,0.0,0
85.24,40.0,2.0,0
34.34,15.0,,1
223.18,6.0,7.0,0
150.43,27.0,5.0,1
171.38,,6.0,0
198.35,68.0,,0
127.12,75.0,8.0,0
26.3,64.0,2.0,0
136.59,30.0,1.0,0
148.78,3.0,4.0,0
187.63,62.0,0.0,0
110.76,12.0,4.0,0
36.26,30.0,9.0,0
74.53,38.0,,1
93.96,60.0,5.0,0
163.25,38.0,4.0,0
144.84,15.0,8.0,0
92.24,18.0,4.0,0
246.7,52.0,7.0,0
153.41,29.0,1.0,1
63.12,60.0,2.0,1
29.94,21.0,2.0,0
42.45,17.0,2.0,0
65.26,18.0,5.0,0
44.37,57.0,,0
50.71,37.0,6.0,0
74.85,,6.0,0
47.48,38.0,2.0,1
224.71,12.0,,0
24.66,75.0,,0
133.51,73.0,2.0,1
105.55,1.0,2.0,0
245.68,58.0,2.0,0
32.45,3.0,8.0,1
102.47,63.0,3.0,0
242.52,21.0,4.0,1
217.05,23.0,,0
205.18,9.0,9.0,0
68.19,55.0,0.0,1
46.87,19.0,3.0,0
168.82,62.0,,0
232.7,39.0,6.0,0
141.41,76.0,,1
145.05,27.0,3.0,1
73.59,46.0,4.0,0
193.53,34.0,9.0,1
50.83,33.0,6.0,1
84.3,50.0,,1
109.23,20.0,3.0,0
129.36,40.0,3.0,1
64.39,58.0,1.0,0
33.14,31.0,9.0,1
154.6,38.0,1.0,0
75.71,45.0,3.0,0
147.4,,,1
42.82,9.0,,1
122.88,9.0,2.0,0
135.48,63.0,1.0,0
17.7,79.0,3.0,0
87.47,77.0,4.0,0
37.93,22.0,,0
20.53,16.0,0.0,0
247.54,32.0,5.0,0
83.98,66.0,4.0,0
203.42,14.0,3.0,0
67.39,,0.0,1
171.97,8.0,6.0,0
191.26,21.0,3.0,1
150.93,56.0,,1
120.54,46.0,6.0,0
105.9,43.0,,0
90.47,46.0,9.0,0
232.73,48.0,0.0,0
208.5,70.0,3.0,0
241.43,31.0,,0
35.45,33.0,5.0,1
184.06,44.0,8.0,0
234.89,71.0,0.0,1
49.4,8.0,0.0,0
21.29,73.0,,0
186.57,2.0,,0
145.75,17.0,7.0,0
211.25,52.0,2.0,1
39.24,45.0,5.0,0
199.84,37.0,2.0,0
54.4,42.0,7.0,0
45.1,44.0,,0
45.25,38.0,1.0,1
204.57,6.0,8.0,1
167.97,68.0,9.0,1
133.15,51.0,7.0,0
92.91,35.0,5.0,0
219.91,58.0,2.0,0
101.15,57.0,1.0,1
205.07,73.0,3.0,0
112.59,6.0,3.0,1
97.35,13.0,0.0,1
118.36,,8.0,1
78.84,30.0,9.0,0
188.16,2.0,7.0,0
128.17,58.0,6.0,1
61.89,36.0,5.0,1
225.4,72.0,2.0,1
99.05,45.0,3.0,0
138.17,9.0,1.0,1
227.09,65.0,6.0,0
157.94,77.0,1.0,0
33.64,50.0,9.0,1
235.26,79.0,0.0,0
158.79,32.0,5.0,1
87.05,43.0,,0
39.12,78.0,,0
199.54,54.0,0.0,0
156.92,47.0,8.0,0
135.7,14.0,,0
224.0,48.0,1.0,0
198.21,55.0,7.0,1
42.16,29.0,,0
81.37,47.0,4.0,1
65.88,63.0,4.0,0
187.27,19.0,6.0,1
13.22,9.0,6.0,0
144.62,37.0,9.0,0
191.8,52.0,6.0,1
219.81,57.0,9.0,0
88.81,28.0,1.0,1
206.21,36.0,7.0,0
32.1,64.0,0.0,1
212.38,18.0,1.0,0
36.23,35.0,6.0,0
102.34,68.0,3.0,0
200.34,78.0,9.0,0
41.73,39.0,9.0,0
61.17,8.0,,0
181.95,15.0,,0
181.41,7.0,2.0,1
162.08,17.0,,1
175.02,64.0,8.0,0
137.97,12.0,9.0,0
66.69,56.0,7.0,0
89.7,46.0,,1
49.49,47.0,5.0,0
227.57,79.0,6.0,1
147.93,16.0,7.0,0
103.21,69.0,1.0,0
118.19,2.0,0.0,0
237.08,54.0,3.0,0
42.57,27.0,0.0,0
148.63,31.0,,1
128.94,41.0,2.0,0
154.81,36.0,3.0,0
9.44,47.0,,1
218.67,43.0,7.0,0
233.37,65.0,8.0,0
143.46,50.0,3.0,1
175.68,1.0,0.0,1
231.01,72.0,4.0,0
178.27,57.0,4.0,1
42.37,16.0,8.0,0
146.19,28.0,5.0,0
153.65,22.0,4.0,0
108.91,41.0,9.0,0
185.43,76.0,9.0,1
233.92,19.0,,1
231.76,50.0,7.0,0
115.46,59.0,,0
32.74,69.0,4.0,1
246.29,34.0,0.0,1
210.53,39.0,6.0,0
35.54,74.0,6.0,0
230.61,7.0,9.0,1
218.12,52.0,7.0,1
132.12,60.0,6.0,0
149.86,52.0,8.0,1
102.76,79.0,7.0,0
18.42,24.0,7.0,0
87.12,26.0,2.0,0
201.7,10.0,,0
6.13,17.0,3.0,1
86.71,78.0,3.0,0
102.55,2.0,0.0,0
136.66,77.0,5.0,1
230.36,27.0,1.0,0
89.85,73.0,8.0,1
90.0,71.0,0.0,1
185.69,,,0
115.79,74.0,9.0,0
60.03,9.0,5.0,1
115.85,,,0
39.51,71.0,2.0,0
48.21,73.0,9.0,1
127.1,27.0,1.0,0
107.64,71.0,8.0,0
229.14,43.0,4.0,1
93.79,7.0,5.0,1
147.24,63.0,1.0,0
159.9,44.0,7.0,0
8.21,39.0,,0
167.57,40.0,7.0,1
48.62,7.0,7.0,1
240.46,70.0,0.0,0
41.42,25.0,6.0,1
106.58,59.0,,0
25.91,13.0,,1
249.23,62.0,1.0,0
128.04,8.0,3.0,1
150.87,45.0,1.0,1
21.43,18.0,6.0,1
188.74,60.0,4.0,1
56.43,60.0,8.0,1
225.02,2.0,4.0,1
55.26,66.0,7.0,1
51.72,14.0,,0
13.95,48.0,2.0,1
120.66,56.0,5.0,0
143.39,12.0,6.0,0
21.1,55.0,9.0,0
195.0,28.0,7.0,0
116.06,4.0,2.0,1
133.48,36.0,6.0,0
112.99,50.0,,0
103.19,3.0,,0
142.11,1.0,5.0,0
43.03,17.0,3.0,0
49.57,71.0,,1
216.14,62.0,,1
236.8,48.0,2.0,0
96.46,62.0,,0
71.33,69.0,4.0,0
162.78,19.0,6.0,1
105.14,34.0,,0
11.22,49.0,4.0,0
43.26,47.0,3.0,0
180.41,50.0,6.0,0
166.44,26.0,1.0,0
11.64,56.0,6.0,1
59.38,78.0,1.0,1
61.61,14.0,,0
169.61,78.0,,1
9.83,25.0,6.0,1
30.51,4.0,5.0,1
200.98,79.0,6.0,1
48.74,32.0,5.0,1
164.92,78.0,0.0,0
63.35,65.0,4.0,0
29.36,61.0,0.0,1
64.58,20.0,6.0,0
181.96,74.0,,1
214.65,10.0,,1
208.4,34.0,0.0,0
102.31,61.0,7.0,0
168.68,27.0,3.0,0
55.22,40.0,2.0,0
76.82,65.0,0.0,0
224.6,33.0,,0
8.19,68.0,2.0,0
25.95,71.0,7.0,0
55.93,9.0,8.0,0
11.5,16.0,4.0,1
49.45,5.0,,1
147.85,23.0,0.0,0
108.25,43.0,6.0,0
223.7,57.0,6.0,1
205.27,51.0,5.0,0
88.75,13.0,3.0,0
68.56,24.0,8.0,0
98.02,11.0,2.0,0
149.62,52.0,0.0,0
70.68,17.0,1.0,0
157.92,37.0,2.0,0
105.31,13.0,1.0,0
140.25,62.0,,0
111.85,8.0,,1
77.14,56.0,,0
237.37,70.0,4.0,0
192.08,44.0,6.0,1
39.33,60.0,5.0,0
217.77,41.0,7.0,0
124.42,21.0,,0
224.17,42.0,1.0,1
200.96,74.0,1.0,1
109.18,74.0,,0
10.5,29.0,6.0,0
70.83,65.0,3.0,0
137.7,17.0,8.0,1
160.2,30.0,,1
68.18,26.0,,0
39.14,53.0,6.0,0
209.56,19.0,7.0,0
246.18,53.0,3.0,0
133.79,17.0,2.0,1
47.06,,2.0,0
71.72,53.0,9.0,0
9.51,64.0,,1
229.0,45.0,2.0,0
33.85,,7.0,1
146.25,19.0,1.0,0
72.14,71.0,4.0,0
140.77,65.0,4.0,1
164.6,37.0,6.0,1
208.29,70.0,4.0,0
55.57,26.0,8.0,1
7.69,2.0,2.0,1
38.54,59.0,8.0,1
225.5,5.0,0.0,1
219.1,37.0,2.0,0
151.37,31.0,3.0,0
152.13,76.0,5.0,1
167.93,48.0,9.0,0
47.97,6.0,7.0,1
229.03,15.0,6.0,0
107.6,15.0,7.0,1
98.87,61.0,5.0,0
132.13,16.0,5.0,0
16.51,20.0,,1
45.74,77.0,2.0,1
185.82,,9.0,0
25.29,42.0,3.0,0
152.77,46.0,5.0,1
65.11,34.0,6.0,1
100.38,64.0,,0
75.73,29.0,3.0,0
92.14,3.0,5.0,0
181.17,9.0,0.0,1
77.79,75.0,6.0,0
143.77,75.0,0.0,0
121.63,25.0,9.0,0
167.6,42.0,8.0,1
234.52,46.0,,1
184.48,73.0,,0
57.66,59.0,8.0,0
12.64,21.0,3.0,0
69.25,74.0,1.0,0
150.79,22.0,6.0,0
17.6,29.0,3.0,1
126.61,63.0,4.0,1
151.23,73.0,0.0,1
86.89,61.0,,0
193.87,64.0,5.0,0
31.12,,6.0,1
23.41,40.0,2.0,0
183.41,75.0,9.0,0
126.4,1.0,1.0,0
173.66,65.0,9.0,1
111.53,62.0,6.0,1
65.37,54.0,0.0,0
205.68,60.0,1.0,0
200.86,46.0,2.0,1
175.2,5.0,3.0,1
71.68,22.0,4.0,1
149.61,53.0,,0
93.44,70.0,9.0,0
27.44,32.0,2.0,0
229.74,11.0,0.0,1
38.52,10.0,6.0,0
237.81,39.0,,0
114.27,31.0,,0
50.36,12.0,1.0,0
137.77,38.0,1.0,0
218.87,67.0,,1
184.4,66.0,,0
202.61,52.0,,0
166.4,5.0,,0
174.61,11.0,9.0,1
213.05,25.0,,1
66.17,35.0,9.0,0
124.91,35.0,7.0,0
59.2,22.0,,0
246.98,37.0,1.0,0
236.29,55.0,0.0,0
14.66,75.0,5.0,1
177.87,72.0,7.0,0
231.69,64.0,0.0,1
49.24,20.0,2.0,0
144.15,4.0,0.0,0
229.29,18.0,9.0,0
13.32,51.0,8.0,0
175.87,68.0,6.0,0
77.85,20.0,7.0,1
231.48,9.0,8.0,0
242.91,26.0,2.0,0
236.35,25.0,,1
121.18,68.0,1.0,1
216.2,41.0,5.0,0
211.91,59.0,4.0,1
83.18,45.0,3.0,0
208.08,41.0,,0
14.07,38.0,5.0,0
151.09,19.0,,1
61.35,14.0,1.0,0
34.54,21.0,8.0,0
23.85,15.0,7.0,0
175.59,3.0,3.0,0
88.27,37.0,,0
182.57,,2.0,0
21.01,16.0,7.0,0
82.25,14.0,,0
137.18,9.0,1.0,0
